M0147_1.02	AT1G19220,AT1G19850,AT1G30330,AT5G20730,AT5G37020,AT5G60450	ARF11,MP,ARF6,IAA21,ARF8,ARF4
M0229_1.02	AT1G05805,AT1G35460,AT1G51140,AT2G24260,AT2G42280,AT2G43140,AT4G09180,AT4G30980	AT1G05805,AT1G35460,AT1G51140,LRL1,AT2G42280,AT2G43140,AT4G09180,LRL2
M0587_1.02	AT4G14770	TCX2
M0591_1.02	AT4G29000	AT4G29000
M1343_1.02	AT3G27810,AT5G40350	ATMYB3,MYB24
M1620_1.02	AT2G25650,AT4G00270	AT2G25650,AT4G00270
M1840_1.02	AT1G22130,AT1G26310,AT1G77980,AT2G45650,AT3G30260,AT3G57230,AT3G57390,AT3G61120,AT4G09960,AT4G11880,AT4G18960,AT4G22950,AT5G51870,AT5G60910,AT5G62165	AGL104,AGL10,AGL66,AGL6,AGL79,AGL16,AGL18,AGL13,AGL11,AGL14,AG,AGL19,AGL71,AGL8,AGL42
M2341_1.02	AT1G26310,AT2G14210,AT2G45650,AT3G30260,AT3G57230,AT3G57390,AT3G61120,AT4G09960,AT4G11880,AT4G22950,AT4G24540,AT5G13790,AT5G51860,AT5G51870,AT5G60910,AT5G62165	AGL10,AGL44,AGL6,AGL79,AGL16,AGL18,AGL13,AGL11,AGL14,AGL19,AGL24,AGL15,AT5G51860,AGL71,AGL8,AGL42
M2347_1.02	AT1G26310,AT2G14210,AT2G22630,AT2G45650,AT2G45660,AT3G30260,AT3G57230,AT3G57390,AT3G61120,AT4G09960,AT4G11880,AT4G22950,AT4G24540,AT4G37940,AT5G51860,AT5G51870,AT5G60910,AT5G62165	AGL10,AGL44,AGL17,AGL6,SOC1,AGL79,AGL16,AGL18,AGL13,AGL11,AGL14,AGL19,AGL24,AGL21,AT5G51860,AGL71,AGL8,AGL42
M2348_1.02	AT2G14210,AT2G22540,AT2G45650,AT3G57390,AT4G11880,AT4G22950,AT4G24540,AT4G37940,AT5G23260,AT5G51860,AT5G51870,AT5G62165	AGL44,SVP,AGL6,AGL18,AGL14,AGL19,AGL24,AGL21,AGL32,AT5G51860,AGL71,AGL42
M2349_1.02	AT2G45650,AT3G54340,AT5G51870	AGL6,AP3,AGL71
M2351_1.02	AT1G77080,AT2G45650,AT3G57390,AT4G11880,AT4G22950,AT5G10140,AT5G65050,AT5G65070,AT5G65080	FLM,AGL6,AGL18,AGL14,AGL19,FLC,MAF2,AGL69,AGL68
M2352_1.02	AT5G20240	PI
M2360_1.02	AT1G04370,AT3G23220,AT3G23240,AT4G18450	ATERF14,AT3G23220,ERF1,AT4G18450
M2374_1.02	AT1G28300	LEC2
M2606_1.02	AT1G22130,AT1G26310,AT1G77980,AT2G45650,AT3G30260,AT3G57230,AT3G57390,AT3G61120,AT4G09960,AT4G11880,AT4G18960,AT4G22950,AT5G51870,AT5G60910,AT5G62165	AGL104,AGL10,AGL66,AGL6,AGL79,AGL16,AGL18,AGL13,AGL11,AGL14,AG,AGL19,AGL71,AGL8,AGL42
M2631_1.02	AT1G16060,AT1G51190,AT1G72570,AT1G79700,AT3G20840,AT3G54320,AT4G37750,AT5G10510,AT5G17430,AT5G57390,AT5G65510	ADAP,PLT2,AT1G72570,AT1G79700,PLT1,WRI1,ANT,PLT3,BBM,AIL5,AIL7
M4708_1.02	AT1G55520,AT3G13445	TBP2,TFIID-1
