Motif ID	Module ID	P-Value	Bound Genes
FZ_DDF1_01	5	0.0107068353726	AT1G51090;AT1G62710;AT2G15970;AT3G55760;AT4G15450;AT4G30650;AT5G01520;AT5G52310;AT5G57660;AT5G66400
M0255_1.02	7	0.0153565850306	AT1G01060;AT1G14150;AT2G04039;AT2G21330;AT3G01060;AT3G02380;AT5G15950;AT5G37260;AT5G43630;AT5G58770;AT5G64940
M0256_1.02	7	0.00161855865327	AT1G01060;AT1G19150;AT1G23740;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M0257_1.02	7	0.00651995057328	AT1G01060;AT1G19150;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M0258_1.02	7	0.0015606382039	AT1G01060;AT1G19150;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M0261_1.02	7	0.000100164986398	AT1G01060;AT1G19150;AT2G04039;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT5G15950;AT5G37260;AT5G43630;AT5G43750;AT5G58770;AT5G64940
M0268_1.02	7	0.0155476098707	AT1G01060;AT1G14150;AT2G04039;AT2G21330;AT3G01060;AT3G02380;AT5G15950;AT5G37260;AT5G43630;AT5G58770;AT5G64940
M0329_1.02	7	0.0409223085379	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M0359_1.02	7	0.0144316863943	AT1G01060;AT1G14150;AT2G04039;AT2G21330;AT3G01060;AT3G02380;AT5G37260;AT5G43630;AT5G43750;AT5G58770;AT5G64940
M1948_1.02	7	0.00314398534967	AT1G01060;AT3G01060;AT3G02380;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G58770;AT5G64940
M2343_1.02	7	0.000173179562051	AT1G19150;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G15950;AT5G37260;AT5G43630;AT5G43750;AT5G58770;AT5G64940
M2344_1.02	7	0.00401496622743	AT1G01060;AT1G19150;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G21870;AT5G15950;AT5G37260;AT5G43630;AT5G64940
M2345_1.02	7	0.00100323924208	AT1G01060;AT1G19150;AT2G15020;AT3G01060;AT3G02380;AT3G21870;AT5G15950;AT5G37260;AT5G43630;AT5G43750;AT5G58770;AT5G64940
M0163_1.02	8	0.0493963717222	AT3G12320;AT3G15520;AT3G54500;AT3G58120;AT4G23820;AT5G13730;AT5G25460
M0165_1.02	8	0.0237719292863	AT3G12320;AT3G15520;AT3G23050;AT3G54500;AT3G58120;AT4G23820;AT5G13730;AT5G25460
M0167_1.02	8	0.0110520395177	AT3G12320;AT3G23050;AT3G54500;AT3G58120;AT4G23820;AT5G13730;AT5G25460;AT5G63180
