Motif ID	1	2	3	4	5	6	7	8
FZ_RAP2.3_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.3_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.3_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.6_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.6_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RAP2.6_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_REM1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_REM1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RRTF1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RRTF1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RRTF1_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RVE1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_RVE1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_SPL1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_SPL1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_SPL7_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_STY1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_STY1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TCP15_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TCP16_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TCP23_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TGA2_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TGA2_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TOE1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TOE1_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TOE1_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TOE2_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TOE2_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_TOE2_03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_WOX13_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_WOX13_02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_WRKY12_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_WRKY18_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_WRKY38_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_WRKY45_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_YAB1_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_YAB5_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ZAT14_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ZAT18_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ZAT2_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
FZ_ZAT6_01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0004_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0005_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0006_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0007_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0009_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0010_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0011_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0012_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0014_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0015_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0016_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0017_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
