Botrytis,Senescence,Shoot Uv	AT1G01630	250	-6.43342707387	AT1G01630,AT1G17200,AT1G19000,AT1G67840,AT2G44210,AT3G01690,AT3G22104,AT4G18060,AT4G38840,AT4G38860,AT5G11720,AT5G50420
Shoot Cold,Shoot Uv	AT1G02400	250	-9.7264420083	AT1G02400,AT1G19180,AT1G51660,AT1G56060,AT1G63830,AT2G02860,AT2G06530,AT2G17290,AT2G32210,AT2G34930,AT2G37940,AT3G07780,AT3G08720,AT3G08760,AT3G48760,AT4G02195,AT4G02380,AT4G11330,AT4G14365,AT4G18280,AT4G23220,AT4G25210,AT4G28703,AT4G30210,AT4G34710,AT4G39890,AT5G35735,AT5G42050,AT5G63790
Root Cold,Shoot Cold,Shoot Uv	AT1G02400	250	-8.40463435801	AT1G02400,AT1G53440,AT1G56060,AT1G63830,AT2G02860,AT2G32210,AT2G34930,AT3G08720,AT4G20830,AT4G25210,AT4G28703,AT4G30210
Root Cold,Shoot Uv	AT1G07000	250	-11.4217469321	AT1G01560,AT1G06050,AT1G07000,AT1G09940,AT1G13210,AT1G14370,AT1G14540,AT1G18390,AT1G18900,AT1G19180,AT1G19270,AT1G22280,AT1G24150,AT1G28280,AT1G28380,AT1G33420,AT1G33590,AT1G57650,AT1G61140,AT1G63720,AT1G64280,AT1G67800,AT1G68690,AT1G69270,AT1G69840,AT1G71697,AT1G73030,AT1G73080,AT1G74360,AT1G74750,AT1G78410,AT1G80820,AT2G03760,AT2G17290,AT2G18690,AT2G30250,AT2G32020,AT2G37110,AT2G38250,AT2G38290,AT2G38790,AT2G39660,AT2G41100,AT2G41630,AT2G41880,AT2G43320,AT2G46500,AT3G01290,AT3G01830,AT3G02800,AT3G04220,AT3G07780,AT3G08760,AT3G09830,AT3G10500,AT3G11820,AT3G12740,AT3G13430,AT3G18830,AT3G19010,AT3G22160,AT3G25250,AT3G25610,AT3G28450,AT3G44720,AT3G46930,AT3G50930,AT3G52870,AT3G54100,AT3G54150,AT4G01010,AT4G02550,AT4G12720,AT4G14365,AT4G14370,AT4G17230,AT4G18880,AT4G20830,AT4G23010,AT4G25210,AT4G25390,AT4G27970,AT4G28460,AT4G29050,AT4G33050,AT4G34390,AT4G34710,AT4G35600,AT4G35940,AT4G39670,AT4G39830,AT4G39890,AT5G02290,AT5G04720,AT5G05190,AT5G07920,AT5G22530,AT5G22630,AT5G24600,AT5G26030,AT5G26920,AT5G35735,AT5G42050,AT5G46520,AT5G47070,AT5G48380,AT5G59450,AT5G61010,AT5G61210,AT5G61900,AT5G65600
Senescence,Root Cold,Shoot Cold	AT1G09070	250	-14.7782120281	AT1G01470,AT1G09070,AT1G14370,AT1G19180,AT1G20440,AT1G20450,AT2G05810,AT2G06530,AT2G17660,AT2G17840,AT2G18350,AT2G23120,AT2G24240,AT2G27260,AT2G27500,AT2G30250,AT3G11020,AT3G16860,AT3G46930,AT3G50260,AT3G50970,AT3G59350,AT4G05050,AT4G18010,AT4G19140,AT4G19200,AT4G19960,AT4G33920,AT4G33980,AT4G35480,AT4G35985,AT4G36010,AT5G05410,AT5G11650,AT5G16910,AT5G17850,AT5G24590,AT5G49480,AT5G54470,AT5G63130,AT5G65300
Senescence,Root Cold,Root Drought,Shoot Cold	AT1G09070	250	-10.0249840969	AT1G09070,AT2G40140,AT3G46930,AT3G49530,AT4G18010,AT5G24590
Senescence,Root Cold,Shoot Cold,Shoot Uv	AT1G09070	250	-6.45874374667	AT1G09070,AT5G11650,AT5G24590
Botrytis,Root Cold,Shoot Cold	AT1G09575	250	-8.40463435801	AT1G09575,AT1G27730,AT3G04640,AT3G28340,AT3G46620,AT3G52800,AT4G17490,AT4G24380,AT4G27652,AT4G34150,AT5G17350,AT5G26030,AT5G64660,AT5G66650
Botrytis,Shoot Uv	AT1G09795	250	-7.36314040533	AT1G06460,AT1G09690,AT1G09795,AT1G20010,AT1G20020,AT1G51940,AT1G54520,AT1G79500,AT2G04700,AT2G21260,AT2G28900,AT2G29630,AT2G31040,AT2G36390,AT2G40660,AT2G40840,AT2G43550,AT2G45560,AT3G02250,AT3G02570,AT3G04910,AT3G16180,AT3G29320,AT3G46970,AT3G47860,AT3G52180,AT3G63160,AT4G00340,AT4G01130,AT4G18240,AT4G27800,AT4G31050,AT4G38100,AT5G04360,AT5G06690,AT5G08280,AT5G19540,AT5G26570,AT5G51820,AT5G64670,AT5G64860,AT5G65310
Root Cold,Root Drought,Shoot Uv	AT1G09940	250	-14.7782120281	AT1G09940,AT1G22280,AT1G33590,AT1G33600,AT1G69840,AT1G73080,AT1G76070,AT1G80820,AT2G32190,AT2G34930,AT3G08720,AT3G08760,AT3G09830,AT3G11820,AT3G57760,AT3G57880,AT4G08500,AT4G20830,AT4G39890,AT5G05190,AT5G17650
Botrytis,Root Cold,Root Drought,Shoot Uv	AT1G09940	250	-10.0249840969	AT1G09940,AT1G19020,AT1G33590,AT1G33600,AT1G73080,AT1G76070,AT1G80820,AT3G08720,AT3G08760,AT3G11820,AT4G20830
Botrytis,Shoot Cold,Shoot Uv	AT1G10850	250	-6.43342707387	AT1G10850,AT4G12420,AT5G01920,AT5G42100,AT5G62670
Botrytis,Root Cold,Shoot Cold	AT1G15290	250	-6.43342707387	AT1G15290,AT1G55360,AT1G64860,AT2G05920,AT2G28950,AT2G31790,AT3G51950,AT4G22570,AT4G34030,AT5G27950
Botrytis,Root Drought,Shoot Uv	AT1G15430	250	-17.0252998233	AT1G11050,AT1G15430,AT1G19020,AT1G19180,AT1G23710,AT1G25400,AT1G29690,AT1G32920,AT1G58420,AT1G61340,AT1G66160,AT1G72520,AT1G73080,AT1G73500,AT1G76070,AT2G16900,AT2G18210,AT2G22500,AT2G22880,AT2G26530,AT2G28400,AT2G32190,AT2G32210,AT2G40140,AT3G02800,AT3G02840,AT3G04640,AT3G05200,AT3G12400,AT3G16720,AT3G18690,AT3G57450,AT4G11280,AT4G17490,AT4G23190,AT4G24380,AT4G30430,AT4G33920,AT4G34150,AT4G36500,AT5G04340,AT5G06320,AT5G10695,AT5G42380,AT5G59550,AT5G59820,AT5G63130,AT5G64660,AT5G65300,AT5G66070,AT5G66650
Root Cold,Shoot Cold,Shoot Uv	AT1G18850	250	-6.43342707387	AT1G06780,AT1G10580,AT1G18850,AT1G22180,AT1G32870,AT1G43860,AT1G55500,AT1G61640,AT1G69250,AT2G24500,AT2G47990,AT3G12510,AT3G57090,AT4G03180,AT4G03430,AT4G05410,AT5G06110,AT5G51130
