Motif ID	Binding AGIs	Binding Gene Names	Module ID	P-Value	Bound Genes
FZ_RAP2.3_02			1	6.04E-08	AT1G72890;AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
FZ_RAP2.3_03			1	1.33E-06	AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
FZ_RAP2.6_02			1	9.56E-09	AT1G72890;AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
FZ_RRTF1_02			1	2.24E-06	AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
FZ_RRTF1_03			1	2.36E-06	AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0005_1.02	"AT1G06160,AT3G23220,AT4G18450,AT5G07310"	"ORA59,AT3G23220,AT4G18450,AT5G07310"	1	0.000116157	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0007_1.02	"AT1G22985,AT1G71130,AT3G61630,AT4G11140"	"AT1G22985,AT1G71130,CRF6,CRF1"	1	0.000183818	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0011_1.02	"AT1G03800,AT1G12980,AT1G24590,AT1G28360,AT1G50640,AT1G80580,AT4G11140,AT5G13910,AT5G18560,AT5G44210,AT5G50080,AT5G64750"	"ERF10,DRN,DRNL,ERF12,ERF3,AT1G80580,CRF1,LEP,PUCHI,ERF9,ERF110,ABR1"	1	0.000187824	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0019_1.02	"AT1G12630,AT1G77200,AT2G35700,AT2G36450,AT2G44940,AT4G25490,AT5G11590,AT5G25810,AT5G51990"	"AT1G12630,AT1G77200,ATERF38,HRD,AT2G44940,CBF1,TINY2,tny,CBF4"	1	3.79E-05	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0020_1.02	"AT1G04370,AT2G44840,AT3G23220,AT4G34410,AT5G61590,AT5G61600,AT5G61890"	"ATERF14,ATERF13,AT3G23220,RRTF1,AT5G61590,ERF104,AT5G61890"	1	0.000182195	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0021_1.02	"AT1G53910,AT1G72360,AT1G80580,AT2G47520,AT3G14230,AT3G16770,AT4G34410,AT5G44210,AT5G50080,AT5G64750"	"RAP2.12,HRE1,AT1G80580,HRE2,RAP2.2,RAP2.3,RRTF1,ERF9,ERF110,ABR1"	1	6.28E-05	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0022_1.02	"AT1G03800,AT1G04370,AT1G12890,AT1G12980,AT1G24590,AT1G28160,AT1G28360,AT1G72360,AT3G15210,AT3G16770,AT4G34410,AT5G13910,AT5G18560,AT5G44210,AT5G50080,AT5G64750"	"ERF10,ATERF14,AT1G12890,DRN,DRNL,AT1G28160,ERF12,HRE1,ATERF-4,RAP2.3,RRTF1,LEP,PUCHI,ERF9,ERF110,ABR1"	1	0.000188924	AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0024_1.02	"AT2G46310,AT3G23220,AT3G23230,AT3G61630,AT4G11140,AT4G18450,AT4G34410,AT5G50080,AT5G61590"	"CRF5,AT3G23220,AT3G23230,CRF6,CRF1,AT4G18450,RRTF1,ERF110,AT5G61590"	1	8.56E-08	AT1G72890;AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0025_1.02	"AT1G04370,AT3G23220,AT3G23240,AT4G18450"	"ATERF14,AT3G23220,ERF1,AT4G18450"	1	0.008820488	AT1G72890;AT1G72900;AT1G72950
M0029_1.02	"AT2G46310,AT3G16770,AT3G61630,AT4G11140,AT4G23750,AT4G39780"	"CRF5,RAP2.3,CRF6,CRF1,CRF2,AT4G39780"	1	4.55E-06	AT1G72890;AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0033_1.02	"AT1G22190,AT1G36060,AT1G53910,AT1G71130,AT2G20880,AT2G46310,AT2G47520,AT3G61630,AT4G11140,AT4G27950,AT4G28140,AT4G34410,AT4G39780,AT5G07310"	"AT1G22190,AT1G36060,RAP2.12,AT1G71130,AT2G20880,CRF5,HRE2,CRF6,CRF1,CRF4,AT4G28140,RRTF1,AT4G39780,AT5G07310"	1	4.15E-06	AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0035_1.02	"AT5G07580,AT5G61590,AT5G61600"	"AT5G07580,AT5G61590,ERF104"	1	6.05E-08	AT1G72890;AT1G72900;AT1G72910;AT1G72920;AT1G72930;AT1G72940
M0036_1.02	"AT1G28360,AT1G36060,AT1G53910,AT2G46310,AT2G47520,AT3G16770,AT3G57600,AT3G61630,AT4G11140,AT4G34410,AT5G07310,AT5G13330,AT5G44210,AT5G50080,AT5G61890,AT5G64750,AT5G65130"	"ERF12,AT1G36060,RAP2.12,CRF5,HRE2,RAP2.3,AT3G57600,CRF6,CRF1,RRTF1,AT5G07310,Rap2.6L,ERF9,ERF110,AT5G61890,ABR1,AT5G65130"	1	5.86E-06	AT1G72890;AT1G72910;AT1G72920;AT1G72930;AT1G72940
