Motif ID	Module ID	P-Value	Bound Genes
M0264_1.02	1	0.0432557196556	AT1G01670;AT1G03600;AT1G07080;AT1G13640;AT1G17760;AT1G18773;AT1G19970;AT1G20230;AT1G20340;AT1G21440;AT1G21770;AT1G22160;AT1G22850;AT1G23100;AT1G24340;AT1G26665;AT1G27470;AT1G27840;AT1G28330;AT1G29920;AT1G30520;AT1G31230;AT1G35720;AT1G47980;AT1G49450;AT1G50732;AT1G52230;AT1G52570;AT1G53785;AT1G63240;AT1G67090;AT1G67870;AT1G68190;AT1G68570;AT1G69640;AT1G70710;AT1G72030;AT1G74120;AT1G74880;AT1G75200;AT1G75490;AT1G76100;AT1G77290;AT1G78510;AT1G79060;AT2G01150;AT2G01420;AT2G02160;AT2G05530;AT2G07738;AT2G15695;AT2G22170;AT2G22240;AT2G25520;AT2G25930;AT2G27340;AT2G28800;AT2G28940;AT2G29530;AT2G29540;AT2G35260;AT2G36970;AT2G40640;AT2G47200;AT3G02330;AT3G06570;AT3G06650;AT3G12130;AT3G14330;AT3G14990;AT3G16140;AT3G17040;AT3G17465;AT3G18035;AT3G19100;AT3G22190;AT3G23050;AT3G24190;AT3G27250;AT3G46780;AT3G47010;AT3G50240;AT3G51470;AT3G51800;AT3G55660;AT3G56370;AT3G56940;AT3G57470;AT3G57570;AT3G58640;AT3G59820;AT3G61470;AT3G63340;AT3G63520;AT3G66652;AT4G00990;AT4G01050;AT4G01550;AT4G03210;AT4G05440;AT4G12110;AT4G17150;AT4G21540;AT4G22756;AT4G23650;AT4G25692;AT4G29860;AT4G30310;AT4G31010;AT4G31310;AT4G32330;AT4G32760;AT4G35450;AT4G35985;AT4G36050;AT4G36780;AT4G36980;AT4G37470;AT4G38970;AT5G02380;AT5G02860;AT5G04090;AT5G07010;AT5G08570;AT5G10140;AT5G11420;AT5G13100;AT5G13630;AT5G14500;AT5G15840;AT5G15960;AT5G16810;AT5G21920;AT5G21930;AT5G22290;AT5G23890;AT5G25460;AT5G26820;AT5G39570;AT5G40480;AT5G43100;AT5G45690;AT5G47180;AT5G47640;AT5G49020;AT5G57960;AT5G58575;AT5G61380;AT5G64430;AT5G64880;AT5G66110
M0268_1.02	1	0.0460826638219	AT1G01670;AT1G03600;AT1G07080;AT1G08660;AT1G13640;AT1G15800;AT1G17210;AT1G17760;AT1G18773;AT1G19970;AT1G20230;AT1G20340;AT1G20693;AT1G21440;AT1G21770;AT1G22160;AT1G22850;AT1G23100;AT1G24340;AT1G26665;AT1G27470;AT1G27840;AT1G28330;AT1G29920;AT1G30520;AT1G31230;AT1G35720;AT1G47980;AT1G49450;AT1G50732;AT1G52230;AT1G52570;AT1G53785;AT1G63240;AT1G67090;AT1G67870;AT1G68190;AT1G69640;AT1G70710;AT1G72030;AT1G74120;AT1G74880;AT1G75200;AT1G75490;AT1G76100;AT1G77290;AT1G78510;AT1G79060;AT2G01150;AT2G01420;AT2G02160;AT2G05530;AT2G07738;AT2G15695;AT2G19810;AT2G22170;AT2G22240;AT2G25520;AT2G25930;AT2G27340;AT2G28800;AT2G28940;AT2G29530;AT2G29540;AT2G33630;AT2G35260;AT2G36970;AT2G39930;AT2G40640;AT2G42220;AT2G44610;AT2G46270;AT2G47200;AT3G06570;AT3G06650;AT3G08640;AT3G12130;AT3G14330;AT3G14990;AT3G16140;AT3G17040;AT3G17465;AT3G18035;AT3G19100;AT3G22190;AT3G23050;AT3G24190;AT3G27250;AT3G46780;AT3G47010;AT3G50240;AT3G51470;AT3G51800;AT3G55660;AT3G56370;AT3G56940;AT3G57470;AT3G57570;AT3G58640;AT3G59820;AT3G61470;AT3G63340;AT3G63520;AT3G66652;AT4G00990;AT4G01050;AT4G01550;AT4G03210;AT4G05470;AT4G12110;AT4G21540;AT4G22756;AT4G23650;AT4G25692;AT4G31010;AT4G31310;AT4G32330;AT4G32760;AT4G33530;AT4G35450;AT4G35780;AT4G35985;AT4G36050;AT4G36780;AT4G36980;AT4G37470;AT4G38970;AT5G02200;AT5G02380;AT5G02860;AT5G04090;AT5G07010;AT5G08570;AT5G10140;AT5G11420;AT5G13100;AT5G13630;AT5G14500;AT5G15840;AT5G15960;AT5G16810;AT5G21920;AT5G21930;AT5G22290;AT5G23890;AT5G25460;AT5G26820;AT5G39570;AT5G40480;AT5G43100;AT5G45660;AT5G45690;AT5G47180;AT5G47640;AT5G49020;AT5G49650;AT5G58575;AT5G61380;AT5G64430;AT5G64880
M0657_1.02	1	0.0432557196556	AT1G01640;AT1G06960;AT1G10522;AT1G10910;AT1G26160;AT1G27190;AT1G75050;AT2G07599;AT2G19480;AT2G28630;AT2G31141;AT2G33810;AT2G35370;AT2G37650;AT3G06650;AT3G07530;AT3G07930;AT3G11400;AT3G22480;AT3G57320;AT3G58090;AT3G63500;AT3G63520;AT4G23140;AT4G24680;AT4G28200;AT4G37300;AT5G01881;AT5G02710;AT5G08120;AT5G15080;AT5G17240;AT5G27395;AT5G35210;AT5G44780;AT5G45150;AT5G48160;AT5G57080;AT5G58787;AT5G64150;AT5G65240;ATMG00400
M0852_1.02	1	0.0432557196556	AT1G01250;AT1G09680;AT1G15350;AT1G16940;AT1G31790;AT1G35720;AT1G68520;AT1G71090;AT1G79060;AT2G07692;AT2G44860;AT2G46260;AT2G48100;AT3G03020;AT3G26920;AT3G57470;AT4G07950;AT4G08460;AT4G21620;AT4G23890;AT4G30935;AT4G34370;AT5G14500;AT5G37475;AT5G45430;AT5G45690;AT5G47750;AT5G66790
M1569_1.02	1	0.0432557196556	AT1G13810;AT1G58350;AT1G68570;AT2G17930;AT2G35260;AT2G45000;AT2G46270;AT3G03020;AT3G05790;AT3G07260;AT3G09380;AT3G20050;AT3G22190;AT3G22520;AT3G25210;AT3G48190;AT4G01120;AT4G26800;AT4G30660;AT4G32200;AT4G39680;AT5G05800;AT5G22840;AT5G25350;AT5G28320;AT5G28400;AT5G40810;AT5G55740;AT5G66460
M1656_1.02	1	0.0432557196556	AT1G01950;AT1G02850;AT1G06390;AT1G14380;AT1G15480;AT1G15800;AT1G17120;AT1G18030;AT1G18450;AT1G21540;AT1G29670;AT1G34760;AT1G52290;AT1G53785;AT1G54310;AT1G58602;AT1G62880;AT1G64880;AT1G72175;AT1G73490;AT1G74088;AT1G74470;AT1G76300;AT1G80130;AT1G80550;AT2G01150;AT2G02080;AT2G23980;AT2G25520;AT2G27402;AT2G30000;AT2G30590;AT2G32520;AT2G40640;AT2G41550;AT2G43720;AT2G47070;AT2G47620;AT3G01310;AT3G01400;AT3G02555;AT3G05130;AT3G07650;AT3G11830;AT3G13360;AT3G13480;AT3G15730;AT3G22380;AT3G24190;AT3G26320;AT3G26410;AT3G46780;AT3G48280;AT3G48610;AT3G51800;AT3G56370;AT3G58690;AT4G01560;AT4G20440;AT4G23300;AT4G37300;AT4G38570;AT5G02150;AT5G05320;AT5G05890;AT5G08330;AT5G09850;AT5G10745;AT5G11420;AT5G16260;AT5G22000;AT5G24610;AT5G25190;AT5G39570;AT5G41270;AT5G45050;AT5G55230;AT5G55280;AT5G57180;AT5G57300;AT5G61880;AT5G64740
M1657_1.02	1	0.0432557196556	AT1G01950;AT1G02850;AT1G14380;AT1G15480;AT1G15800;AT1G18450;AT1G26940;AT1G29670;AT1G42440;AT1G49540;AT1G53785;AT1G58602;AT1G63880;AT1G64880;AT1G73490;AT1G74088;AT1G76300;AT1G80130;AT1G80550;AT2G01150;AT2G20530;AT2G23980;AT2G25520;AT2G30000;AT2G32520;AT2G41550;AT2G43720;AT2G47620;AT3G01310;AT3G01400;AT3G02555;AT3G07590;AT3G13360;AT3G15730;AT3G26410;AT3G46780;AT3G51800;AT3G56370;AT4G01560;AT4G20440;AT4G37300;AT4G38570;AT5G01780;AT5G05320;AT5G07010;AT5G08330;AT5G09850;AT5G15550;AT5G16260;AT5G22000;AT5G25190;AT5G41270;AT5G55230;AT5G57300;AT5G61880
M2379_1.02	1	0.0432557196556	AT1G32790;AT1G58350;AT1G68570;AT2G07722;AT2G17930;AT2G35260;AT2G41710;AT2G45000;AT2G46270;AT3G06290;AT3G20050;AT3G22190;AT3G48190;AT4G02360;AT4G32200;AT4G39680;AT5G05800;AT5G22320;AT5G28320;AT5G28400;AT5G40810;AT5G66460;ATMG00110;ATMG00170;ATMG00400;ATMG00490;ATMG00516;ATMG00680;ATMG01320
M2681_1.02	1	0.0432557196556	AT1G01390;AT1G13640;AT1G17990;AT1G18773;AT1G20230;AT1G20340;AT1G20490;AT1G20693;AT1G23100;AT1G25440;AT1G26200;AT1G26665;AT1G27840;AT1G28330;AT1G30520;AT1G31330;AT1G50732;AT1G53785;AT1G55670;AT1G68190;AT1G68570;AT1G70830;AT1G74120;AT1G76100;AT1G77180;AT1G77290;AT2G01420;AT2G07806;AT2G15695;AT2G22170;AT2G25930;AT2G27340;AT2G28940;AT2G29530;AT2G29540;AT2G30432;AT2G32320;AT2G33850;AT2G34960;AT2G36900;AT2G36970;AT2G39980;AT2G41710;AT2G45000;AT2G46270;AT3G06650;AT3G07750;AT3G14330;AT3G14900;AT3G14990;AT3G15095;AT3G18035;AT3G19100;AT3G20080;AT3G46780;AT3G47010;AT3G52940;AT3G66652;AT4G00990;AT4G01050;AT4G01120;AT4G02450;AT4G11060;AT4G12110;AT4G21170;AT4G21540;AT4G22756;AT4G26670;AT4G28220;AT4G30310;AT4G31010;AT4G32330;AT4G35780;AT4G35985;AT5G02530;AT5G05350;AT5G13630;AT5G14550;AT5G22290;AT5G23890;AT5G27395;AT5G38150;AT5G40480;AT5G42950;AT5G45660;AT5G45690;AT5G47180;AT5G47610;AT5G51820;AT5G58575;AT5G60400;AT5G61380;AT5G63190;ATMG00570
