Treatment,Botrytis,Drought,High Light,Pst,Long Day Senescence,Short Day Senescence
CATMA1A59440,0,0,1,0,0,1
CATMA1A59450,1,0,0,1,1,0
CATMA1A59470,0,0,1,1,0,0
CATMA1A59480,0,0,1,0,0,0
CATMA1A59490,1,0,1,1,0,1
CATMA1A59500,0,0,0,0,1,0
CATMA1A59505,0,0,0,0,1,1
CATMA1A59520,1,0,1,1,1,1
CATMA1A59540,0,1,0,0,0,0
CATMA1a59550,0,0,1,0,1,1
CATMA1A59560,1,0,0,1,1,1
CATMA1A59570,1,1,1,0,1,1
CATMA1A59580,1,1,1,1,1,1
CATMA1A59585,1,0,0,0,1,0
CATMA1A59620,0,0,0,0,0,1
CATMA1A59635,0,0,0,1,1,1
CATMA1A59650,0,0,0,0,1,0
CATMA1A59670,1,0,0,1,1,1
CATMA1A59680,1,0,1,0,1,0
CATMA1A59700,0,0,0,0,1,0
CATMA1A59710,1,0,0,0,0,0
CATMA1A59730,1,0,1,0,0,0
CATMA1A59740,1,0,0,0,0,1
CATMA1A59750,0,0,1,1,1,0
CATMA1A59790,1,1,1,1,1,1
CATMA1A59800,0,1,0,0,0,1
CATMA1A59810,0,0,1,0,0,0
CATMA1A59820,1,0,0,1,1,1
CATMA1A59830,1,1,0,0,0,0
CATMA1A59840,1,0,1,0,0,1
CATMA1A59850,1,1,1,1,1,0
CATMA1A59870,0,0,0,1,1,1
CATMA1A59880,0,0,1,0,1,0
CATMA1A59890,0,0,0,0,1,0
CATMA1A59900,1,0,1,0,0,0
CATMA1A59910,0,0,1,0,0,0
CATMA1A59920,1,0,1,0,1,0
CATMA1A59940,1,0,0,0,1,0
CATMA1A59970,1,0,0,1,1,0
CATMA1A59980,1,0,0,1,1,0
CATMA1A59990,0,0,0,0,1,0
CATMA1a60010,1,0,1,1,0,1
CATMA1A60030,0,0,1,0,0,0
CATMA1A60035,0,0,0,1,1,0
CATMA1A60040,1,0,0,1,1,1
CATMA1A60050,0,0,1,0,0,0
CATMA1a60060,1,0,1,1,1,0
CATMA1A60070,1,0,0,1,1,1
CATMA1A60100,1,0,0,0,1,1
CATMA1A60110,1,0,0,0,1,1
CATMA1A60160,1,0,1,0,0,0
CATMA1A60180,0,0,1,0,0,0
CATMA1A60190,1,0,1,1,1,1
CATMA1A60220,1,0,0,0,0,0
CATMA1A60225,0,0,0,1,1,0
CATMA1A60270,0,1,1,0,0,0
CATMA1A60290,0,0,1,0,0,0
CATMA1A60320,0,0,0,0,1,0
CATMA1a60325,1,0,0,0,1,1
CATMA1A60330,0,0,0,0,1,1
CATMA1A60360,1,0,1,0,1,0
CATMA1A60370,0,0,0,1,0,1
CATMA1A60380,0,0,0,1,0,1
CATMA1A60390,1,0,0,1,1,0
CATMA1A60400,0,0,1,0,1,0
CATMA1A60410,1,0,0,0,1,0
CATMA1A60420,0,0,1,0,1,1
CATMA1A60430,1,1,1,0,1,0
CATMA1A60460,0,0,0,0,0,1
CATMA1A60470,1,0,0,0,0,1
CATMA1A60480,0,0,0,0,1,1
CATMA1A60500,1,0,0,0,0,0
CATMA1A60510,0,0,0,0,1,0
CATMA1a60520,1,0,0,0,0,0
CATMA1A60530,1,0,0,0,0,0
CATMA1A60550,1,0,1,0,0,0
CATMA1A60570,1,0,0,0,0,0
CATMA1A60660,0,1,1,0,0,0
CATMA1a60665,0,1,1,0,1,1
CATMA1A60670,1,0,0,0,0,1
CATMA1A60700,1,0,0,0,0,0
CATMA1a60720,0,0,0,0,0,1
CATMA1A60730,0,0,1,0,0,0
CATMA1A60750,1,0,1,1,1,1
CATMA1A60760,1,0,0,0,0,0
CATMA1A60780,1,0,1,0,0,0
CATMA1A60800,1,1,1,1,1,0
CATMA1A60810,0,1,0,0,0,0
CATMA1A60820,1,0,0,1,1,1
CATMA1A60830,1,0,0,1,1,0
CATMA1A60876,1,0,0,1,1,1
CATMA1A60880,0,1,1,0,1,0
CATMA1A60890,0,0,0,1,1,1
CATMA1A60900,1,0,0,1,1,0
CATMA1A60920,1,1,1,1,1,1
CATMA1A60930,1,0,0,0,0,0
CATMA1A60950,1,0,0,0,0,0
CATMA1A60960,0,0,0,0,1,1
CATMA1A60980,0,0,1,0,0,0
CATMA1A61000,1,0,1,0,1,1
CATMA1A61020,0,1,0,1,1,1
CATMA1A61030,1,0,0,0,0,1
CATMA1A61040,0,0,1,0,0,0
CATMA1A61060,1,0,1,0,0,0
CATMA1A61070,1,0,0,0,0,0
CATMA1A61075,0,0,0,1,0,0
CATMA1A61090,0,1,0,0,0,0
CATMA1a61110,0,0,1,0,1,0
CATMA1A61120,0,0,0,0,1,1
CATMA1A61140,0,0,0,0,1,0
CATMA1A61150,1,0,0,1,0,0
CATMA1A61160,1,0,1,0,1,1
CATMA1A61170,1,1,1,1,1,1
CATMA1A61180,0,1,0,1,0,1
CATMA1A61190,0,0,1,1,1,0
CATMA1A61200,0,1,1,0,0,1
CATMA1A61210,1,0,0,1,1,1
CATMA1A61230,0,0,1,1,1,1
CATMA1A61240,0,0,1,0,0,0
CATMA1A61250,1,1,1,1,1,0
CATMA1A61260,1,1,1,0,0,0
CATMA1A61270,1,0,1,1,0,1
CATMA1a61275,1,1,0,0,0,1
CATMA1A61280,1,1,0,0,1,0
CATMA1A61300,1,0,1,1,1,0
CATMA1a61330,0,0,1,1,0,0
CATMA1A61350,0,0,0,0,1,0
CATMA1A61380,1,0,1,1,1,0
CATMA1A61410,1,0,0,1,0,1
CATMA1A61420,1,1,0,1,1,1
CATMA1A61450,0,0,1,0,0,0
CATMA1A61460,1,0,1,0,1,0
CATMA1A61490,0,0,0,0,1,0
CATMA1A61500,1,0,0,0,0,0
CATMA1A61520,1,0,0,1,0,0
CATMA1A61530,1,1,0,0,0,0
CATMA1A61550,0,0,1,1,1,0
CATMA1A61555,1,0,0,1,1,0
CATMA1A61560,1,0,0,0,0,0
CATMA1A61570,0,0,0,1,0,0
CATMA1A61580,0,0,1,0,0,0
CATMA1A61600,1,0,0,0,1,1
CATMA1A61605,0,0,0,0,1,1
CATMA1A61610,1,0,0,0,0,0
CATMA1A61630,0,1,0,0,1,0
CATMA1a61640,1,0,1,0,0,0
CATMA1A61650,0,1,0,1,1,0
CATMA1A61660,0,0,1,0,1,0
CATMA1A61670,1,0,0,1,1,0
CATMA1A61680,1,0,0,0,1,0
CATMA1A61700,0,0,0,1,1,0
CATMA1A61710,0,0,0,0,1,1
CATMA1A61720,0,0,0,0,1,0
CATMA1A61730,1,0,0,0,0,0
CATMA1A61750,1,0,0,1,1,0
CATMA1A61770,1,0,1,0,1,1
CATMA1A61780,1,0,1,0,0,0
CATMA1A61790,1,0,0,0,0,1
CATMA1A61830,1,0,0,0,0,0
CATMA1a61835,1,1,1,1,1,1
CATMA1a61840,0,1,1,1,1,0
CATMA1A61860,1,0,0,1,1,1
CATMA1A61870,1,1,1,0,0,0
CATMA1A61900,1,0,0,0,1,0
CATMA1A61910,0,0,0,1,1,0
CATMA1A61920,0,0,0,1,1,0
CATMA1A61930,0,1,0,1,1,1
CATMA1A61940,0,0,1,0,0,0
CATMA1A61950,0,0,1,0,1,1
CATMA1A61960,1,0,1,0,0,0
CATMA1A61980,1,0,0,0,0,0
CATMA1A62010,0,0,0,1,1,1
CATMA1A62030,1,1,0,1,1,1
CATMA1A62040,1,0,0,0,1,1
CATMA1A62050,0,0,1,1,0,0
CATMA1A62055,0,0,1,0,1,1
CATMA1A62060,0,0,0,0,1,0
CATMA1A62080,1,0,0,0,0,0
CATMA1A62100,0,0,1,0,0,0
CATMA1a62120,1,0,0,1,0,0
CATMA1A62155,1,0,1,0,1,0
CATMA1A62160,1,0,0,1,0,0
CATMA1A62170,0,0,0,1,0,0
CATMA1A62200,0,0,1,0,0,0
CATMA1A62230,1,0,1,1,1,0
CATMA1A62240,1,0,0,0,0,0
CATMA1A62250,0,0,0,0,1,0
CATMA1A62260,0,0,1,0,0,1
CATMA1A62270,1,1,1,0,1,1
CATMA1A62290,0,0,0,0,1,1
CATMA1A62310,1,0,0,1,1,0
CATMA1A62330,1,0,0,0,1,0
CATMA1A62340,1,1,1,1,0,1
CATMA1A62350,0,0,1,1,1,1
CATMA1A62370,0,0,0,0,0,1
CATMA1A62390,1,0,0,0,0,1
CATMA1A62410,0,0,1,0,0,0
CATMA1A62420,1,1,0,1,0,0
CATMA1A62440,0,0,1,0,0,0
CATMA1A62460,1,0,1,0,0,0
CATMA1A62500,1,0,0,0,1,0
CATMA1A62510,1,1,0,0,0,1
CATMA1A62520,1,0,1,0,0,0
CATMA1A62530,1,1,0,0,0,0
CATMA1A62540,1,1,0,1,1,0
CATMA1A62620,0,0,1,0,1,0
CATMA1a62630,1,0,0,0,1,0
CATMA1A62650,1,0,1,0,0,0
CATMA1A62680,0,0,0,0,1,0
CATMA1A62690,1,0,0,0,1,1
CATMA1a62700,0,1,1,1,1,0
CATMA1a62710,0,1,0,0,0,0
CATMA1A62725,1,0,0,0,0,0
CATMA1a62727,0,0,0,0,1,0
CATMA1A62730,0,0,1,0,0,0
CATMA1A62740,1,0,0,0,0,0
CATMA1A62750,0,0,0,0,1,0
CATMA1A62760,1,0,0,0,0,0
CATMA1a62780,1,0,0,1,1,1
CATMA1A62790,1,0,0,1,1,0
CATMA1A62800,1,0,1,0,0,1
CATMA1A62810,1,0,1,1,1,1
CATMA1A62820,1,0,0,0,0,0
CATMA1A62830,1,0,0,1,1,1
CATMA1A62840,1,0,1,1,1,0
CATMA1A62860,0,0,0,0,0,1
CATMA1A62890,1,0,0,0,0,0
CATMA1A62900,0,1,0,0,1,0
CATMA1A62920,1,1,0,1,1,0
CATMA1A62930,0,0,0,0,1,0
CATMA1A62940,1,0,0,0,1,1
CATMA1A62950,1,1,1,0,1,0
CATMA1A62970,1,0,0,0,1,0
CATMA1A62980,1,0,0,1,1,0
CATMA1A62990,0,1,1,0,0,0
CATMA1A63000,0,0,1,0,1,0
CATMA1A63010,1,0,0,0,1,1
CATMA1A63030,0,1,1,0,1,0
CATMA1A63040,1,0,0,0,0,0
CATMA1A63050,1,0,1,0,0,0
CATMA1A63055,0,0,1,0,1,0
CATMA1A63060,1,0,0,0,0,0
CATMA1A63070,1,0,0,0,1,0
CATMA1A63090,1,0,1,0,0,0
CATMA1A63110,0,0,1,0,1,0
CATMA1A63120,1,0,1,1,1,0
CATMA1A63130,0,0,1,1,0,1
CATMA1A63140,1,0,0,1,1,1
CATMA1A63150,1,0,1,0,0,0
CATMA1A63200,0,0,1,1,1,0
CATMA1a63220,0,0,1,0,0,0
CATMA1A63230,1,0,0,0,1,1
CATMA1A63240,1,0,0,1,1,0
CATMA1A63250,1,0,1,1,1,0
CATMA1A63270,1,0,1,0,1,1
CATMA1A63280,1,0,1,0,1,0
CATMA1A63290,1,0,1,0,0,1
CATMA1A63310,1,0,1,0,1,0
CATMA1A63320,0,0,1,0,0,1
CATMA1A63330,1,0,0,1,0,0
CATMA1A63340,0,0,0,1,1,1
CATMA1A63350,1,0,0,0,1,1
CATMA1A63353,1,0,0,0,1,1
CATMA1A63356,1,0,0,1,1,0
CATMA1A63360,1,0,0,1,1,0
CATMA1A63370,1,0,0,1,1,1
CATMA1A63380,0,0,1,1,0,0
CATMA1A63390,1,0,0,0,1,1
CATMA1A63440,1,1,0,1,1,1
CATMA1A63450,1,0,0,1,0,0
CATMA1A63480,0,0,0,1,0,0
CATMA1A63550,1,0,0,0,1,0
CATMA1a63560,0,0,1,0,0,0
CATMA1A63610,1,0,0,0,0,0
CATMA1A63630,0,1,0,0,0,0
CATMA1A63650,1,0,1,1,0,0
CATMA1A63660,1,0,0,0,0,0
CATMA1a63670,1,1,0,0,0,0
CATMA1a63710,1,0,1,1,0,1
CATMA1A63720,1,0,1,0,0,0
CATMA1A63750,1,0,0,1,1,1
CATMA1A63760,0,1,1,0,1,0
CATMA1A63770,0,0,0,0,1,0
CATMA1A63780,0,0,1,0,1,0
CATMA1A63800,0,1,1,0,1,0
CATMA1a63840,0,0,1,0,0,0
CATMA1A63850,0,0,0,0,1,0
CATMA1A63880,1,0,0,1,1,1
CATMA1A63900,0,0,0,0,1,0
CATMA1A63920,1,0,0,0,1,0
CATMA1A63925,1,1,1,1,1,0
CATMA1A63930,1,0,0,0,0,0
CATMA1A63950,1,0,0,0,0,0
CATMA1A63970,0,0,0,1,0,0
CATMA1A63980,1,0,0,1,1,1
CATMA1A63990,0,0,0,0,0,1
CATMA1A64010,1,0,0,1,0,0
CATMA1A64020,0,0,0,1,1,0
CATMA1A64030,1,0,1,0,1,1
CATMA1A64040,0,1,0,0,1,1
CATMA1A64060,1,0,0,0,1,1
CATMA1A64070,0,0,0,0,0,1
CATMA1A64075,1,1,1,1,1,0
CATMA1A64090,1,1,0,1,1,1
CATMA1A64140,1,0,0,0,1,0
CATMA1A64150,0,1,1,0,0,0
CATMA1A64210,1,0,1,1,1,1
CATMA1A64220,1,0,1,1,1,1
CATMA1A64230,1,0,0,0,1,0
CATMA1A64240,0,0,1,0,0,0
CATMA1A64250,1,0,0,1,1,0
CATMA1A64270,1,0,0,0,0,0
CATMA1A64280,1,1,1,1,1,0
CATMA1A64290,1,0,1,1,1,0
CATMA1A64300,0,0,0,0,1,1
CATMA1A64310,1,0,1,0,1,1
CATMA1A64320,0,0,0,1,1,0
CATMA1A64330,0,0,1,0,1,0
CATMA1A64335,1,1,0,1,1,1
CATMA1A64350,1,0,0,1,1,0
CATMA1A64360,1,0,0,1,0,0
CATMA1A64370,1,0,1,1,0,0
CATMA1A64376,0,0,0,0,1,0
CATMA1A64400,0,0,0,1,1,1
CATMA1A64410,1,0,0,0,1,0
CATMA1A64430,0,0,1,1,1,0
CATMA1A64480,1,0,1,1,1,0
CATMA1A64530,0,1,0,0,0,0
CATMA1A64550,1,0,0,0,0,0
CATMA1A64560,1,1,1,1,1,0
CATMA1A64570,0,0,0,0,0,1
CATMA1A64590,0,1,1,1,0,0
CATMA1A64610,1,0,1,0,1,0
CATMA1A64615,1,1,1,1,1,1
CATMA1A64646,0,0,0,1,0,0
CATMA1A64653,0,1,1,0,1,0
CATMA1A64670,0,0,1,0,0,0
CATMA1A64680,1,0,0,1,1,1
CATMA1A64700,1,0,1,0,1,0
CATMA1A64720,1,0,1,0,1,1
CATMA1A64730,1,1,1,0,1,1
CATMA1A64740,0,0,0,1,0,1
CATMA1A64750,1,0,1,1,1,1
CATMA1A64760,1,0,0,1,0,0
CATMA1A64780,0,0,0,1,1,1
CATMA1A64810,1,0,0,1,0,0
CATMA1A64830,1,0,1,1,1,0
CATMA1A64840,1,0,0,0,0,0
CATMA1A64870,1,0,0,1,1,1
CATMA1A64880,1,0,1,0,0,0
CATMA1A64890,0,0,1,0,0,0
CATMA1a64900,1,0,1,0,1,0
CATMA1A64910,1,0,0,0,0,0
CATMA1A64945,0,0,1,0,0,1
CATMA1A64950,0,0,0,1,0,0
CATMA1A64960,0,0,1,1,0,1
CATMA1A64970,0,0,1,1,0,0
CATMA1A64980,0,0,0,1,1,1
CATMA1A64990,1,1,1,1,1,1
CATMA1A65040,1,0,1,1,0,0
CATMA1A65060,1,0,1,0,0,0
CATMA1A65090,1,1,0,1,1,0
CATMA1A65100,1,1,1,0,1,1
CATMA1A65110,1,0,1,1,1,0
CATMA1A65113,1,0,0,0,1,0
CATMA1A65116,1,0,0,1,0,0
CATMA1A65120,0,0,0,1,0,1
CATMA1A65140,0,0,0,0,1,0
CATMA1A65170,1,0,1,1,1,1
CATMA1A65216,1,0,0,1,1,1
CATMA1a65220,0,1,1,0,1,1
CATMA1A65230,1,0,1,0,0,0
CATMA1a65260,1,0,1,1,0,0
CATMA1A65270,1,0,0,0,0,0
CATMA1A65280,1,0,0,0,1,0
CATMA1A65290,0,0,1,0,1,1
CATMA1A65300,1,0,0,1,1,1
CATMA1A65310,0,1,1,0,0,0
CATMA1A65315,0,0,1,1,1,1
CATMA1A65320,1,1,1,1,1,1
CATMA1A65330,1,1,1,1,1,0
CATMA1A65350,1,0,1,0,1,0
CATMA1A65360,1,0,0,1,0,0
CATMA1A65370,1,0,0,1,1,1
CATMA1A65380,0,1,0,0,1,1
CATMA1a65390,1,0,0,0,0,0
CATMA1A65395,0,1,1,0,1,1
CATMA1A65440,0,1,0,0,0,1
CATMA1A65450,1,0,1,0,0,0
CATMA1A65470,1,0,1,0,0,0
CATMA1A65500,1,0,0,0,0,1
CATMA1A65520,1,0,1,0,0,0
CATMA1A65530,0,0,0,0,1,0
CATMA1A65540,1,0,0,1,0,1
CATMA1A65560,0,1,0,0,0,0
CATMA1A65570,1,0,1,1,1,1
CATMA1A65590,0,0,0,0,1,0
CATMA1a65610,0,0,0,1,1,1
CATMA1A65620,1,0,0,0,0,0
CATMA1A65670,1,0,1,0,0,0
CATMA1A65690,1,0,0,1,1,0
CATMA1A65695,1,1,1,1,0,0
CATMA1a65700,1,0,0,0,0,0
CATMA1a65710,0,0,0,1,0,0
CATMA1A65720,1,0,0,0,1,0
CATMA1A65730,1,0,0,0,1,0
CATMA1A65760,1,0,1,1,1,1
CATMA1A65770,0,1,1,0,1,0
CATMA1A65780,1,1,0,0,1,1
CATMA1A65790,0,1,1,1,1,1
CATMA1A65800,1,0,0,1,1,0
CATMA1A65810,1,0,0,0,0,0
CATMA1A65830,0,0,0,0,1,0
CATMA1A65840,1,0,1,0,0,0
CATMA1A65850,0,0,0,1,1,0
CATMA1A65860,1,1,0,1,1,0
CATMA1A65870,1,0,0,0,1,0
CATMA1A65920,1,0,1,1,0,0
CATMA1a65930,0,1,1,0,1,0
CATMA1A65950,1,0,1,1,1,1
CATMA1A65960,0,0,1,0,0,0
CATMA1A65980,1,0,0,0,0,0
CATMA1a65990,1,0,0,0,0,0
CATMA1A66010,0,0,0,1,1,0
CATMA1a66020,0,1,1,1,1,0
CATMA1A66030,1,0,0,0,0,0
CATMA1A66080,0,0,0,0,0,1
CATMA1a66090,0,0,1,0,0,0
CATMA1A66100,0,0,0,1,0,0
CATMA1A66110,1,0,0,0,0,0
CATMA1A66120,0,0,0,0,1,0
CATMA1A66130,1,0,0,1,0,0
CATMA1A66140,0,0,1,0,0,0
CATMA1A66150,1,0,0,1,1,1
CATMA1A66170,1,0,0,0,0,1
CATMA1A66180,1,0,1,0,1,0
CATMA1A66190,0,0,0,1,1,1
CATMA1A66200,0,0,0,0,1,0
CATMA1A66210,1,0,0,0,0,0
CATMA1A66220,1,0,0,1,1,1
CATMA1A66230,1,0,1,0,1,0
CATMA1A66250,0,0,1,1,1,1
CATMA1A66280,0,0,0,0,1,1
CATMA1A66290,0,0,1,0,1,0
CATMA1A66300,1,1,0,1,1,1
CATMA1A66315,0,1,0,0,0,0
CATMA1A66320,0,0,1,0,1,0
CATMA1A66330,1,0,0,1,0,0
CATMA1A66340,0,0,0,0,0,1
CATMA1A66355,1,0,1,0,0,0
CATMA1A66400,1,0,1,1,1,1
CATMA1A66420,1,0,1,0,1,0
CATMA1A66440,1,0,1,1,0,0
CATMA1A66460,0,0,1,0,0,0
CATMA1A66470,0,1,1,0,1,0
CATMA1A66480,0,0,1,0,0,0
CATMA1A66500,0,0,0,0,0,1
CATMA1A66510,0,1,0,0,1,0
CATMA1A66590,1,0,1,1,1,1
CATMA1A66600,0,0,0,1,1,1
CATMA1A66620,0,1,0,0,0,0
CATMA1A66630,1,0,0,0,0,0
CATMA1a66650,0,0,1,0,0,0
CATMA1A66671,1,0,0,1,1,1
CATMA1A66682,0,0,0,0,0,1
CATMA1A66703,0,0,0,0,1,0
CATMA1A66714,0,0,1,0,1,1
CATMA1A66725,1,0,1,0,1,1
CATMA1A66736,0,0,0,0,0,1
CATMA1a66746,1,0,1,0,0,0
CATMA1A66800,1,0,0,1,0,1
CATMA1A66810,0,0,1,0,0,0
CATMA1A66820,0,0,1,0,1,1
CATMA1A66840,1,0,1,1,1,0
CATMA1A66860,0,0,0,0,0,1
CATMA1A66870,0,0,1,0,0,0
CATMA1A66890,0,0,1,0,0,0
CATMA1A66900,1,0,0,0,1,1
CATMA1A66910,1,1,1,1,1,0
CATMA1A66920,0,0,0,0,1,0
CATMA1A66930,1,0,0,1,1,0
CATMA1A66960,1,0,0,0,0,1
CATMA1A66970,0,0,0,1,1,0
CATMA1A66990,0,0,0,1,1,0
CATMA1A67000,0,0,1,1,0,1
CATMA1A67010,1,0,1,0,0,0
CATMA1A67030,0,0,1,0,0,0
CATMA1A67040,1,0,1,1,1,1
CATMA1A67050,1,0,0,1,1,0
CATMA1A67060,0,0,1,1,1,1
CATMA1A67070,0,1,0,1,0,1
CATMA1a67090,0,1,1,0,1,1
CATMA1A67113,1,0,1,1,0,1
CATMA1A67116,0,0,0,0,1,0
CATMA1A67120,1,0,0,1,1,0
CATMA1A67130,1,1,0,1,1,0
CATMA1A67150,1,0,0,0,1,1
CATMA1A67170,1,0,0,1,1,0
CATMA1A67180,1,1,0,0,1,1
CATMA1A67190,1,0,1,1,1,0
CATMA1A67220,1,1,0,1,0,0
CATMA1A67230,0,0,1,0,0,0
CATMA1A67240,1,0,0,0,0,0
CATMA1A67250,0,1,1,0,1,1
CATMA1A67260,1,0,0,0,0,0
CATMA1A67270,1,0,1,0,0,0
CATMA1A67290,1,0,1,0,1,1
CATMA1A67320,0,0,1,0,1,0
CATMA1A67330,1,0,0,0,0,1
CATMA1A67340,1,0,1,0,1,1
CATMA1A67350,0,0,0,0,1,0
CATMA1A67360,1,0,1,0,0,0
CATMA1A67370,1,0,0,0,1,0
CATMA1A67380,0,0,1,1,0,0
CATMA1a67390,0,1,0,0,1,1
CATMA1A67400,0,0,0,1,0,1
CATMA1A67410,1,0,1,0,0,0
CATMA1A67420,0,0,1,0,1,1
CATMA1A67430,0,0,1,0,0,0
CATMA1A67470,1,1,1,1,1,0
CATMA1a67475,1,0,0,0,1,0
CATMA1A67480,0,0,1,1,1,0
CATMA1A67490,0,1,0,0,0,0
CATMA1A67500,1,0,0,0,1,0
CATMA1A67510,0,0,0,1,1,1
CATMA1A67520,0,0,0,0,1,1
CATMA1A67530,1,0,1,1,0,0
CATMA1a67560,0,0,0,1,0,0
CATMA1A67570,1,0,1,0,1,0
CATMA1A67590,1,0,1,1,0,0
CATMA1A67620,1,0,0,0,0,0
CATMA1A67630,0,0,1,1,1,0
CATMA1A67640,0,0,0,0,1,0
CATMA1A67645,1,1,0,0,1,1
CATMA1A67650,1,1,0,0,0,0
CATMA1A67660,0,1,0,0,1,0
CATMA1A67670,0,0,0,0,1,0
CATMA1A67690,1,0,0,1,1,1
CATMA1A67720,0,0,0,0,1,1
CATMA1A67730,0,0,0,1,0,0
CATMA1A67740,0,0,1,0,1,1
CATMA1A67745,0,0,1,0,0,0
CATMA1A67750,1,0,0,0,1,1
CATMA1A67770,0,0,1,0,0,0
CATMA1A67840,1,0,0,0,1,0
CATMA1A67870,0,0,0,0,1,0
CATMA1A67880,1,0,0,0,0,0
CATMA1A67920,0,0,0,0,1,0
CATMA1a67930,0,1,1,0,1,0
CATMA1a67950,0,1,0,1,0,0
CATMA1a67970,0,0,1,0,1,1
CATMA1A67980,1,0,0,0,0,0
CATMA1A67990,0,0,0,0,1,1
CATMA1A68000,1,0,1,1,1,1
CATMA1A68010,0,0,1,0,0,0
CATMA1a68030,1,0,0,0,0,0
CATMA1A68040,1,0,0,0,0,0
CATMA1A68050,0,0,0,1,0,0
CATMA1A68070,1,0,0,0,0,0
CATMA1A68085,1,0,1,1,1,0
CATMA1A68100,0,0,0,0,1,0
CATMA1A68110,1,0,0,1,1,0
CATMA1A68120,1,0,1,0,0,1
CATMA1A68125,0,0,1,0,0,0
CATMA1A68130,1,0,0,0,1,0
CATMA1A68140,1,1,0,1,1,0
CATMA1A68150,1,0,0,1,1,0
CATMA1A68170,0,0,0,1,1,0
CATMA1A68190,1,0,1,1,1,0
CATMA1A68210,0,0,0,1,0,0
CATMA1A68230,1,1,0,0,0,1
CATMA1A68240,0,0,1,0,0,0
CATMA1A68250,1,0,1,0,0,0
CATMA1A68260,1,0,0,1,0,1
CATMA1A68270,0,0,0,1,0,0
CATMA1A68290,1,1,0,1,1,0
CATMA1A68300,1,1,0,0,0,0
CATMA1A68310,0,0,0,1,0,0
CATMA1A68320,1,0,0,0,0,0
CATMA1A68330,0,0,1,0,0,0
CATMA1A68350,1,1,0,0,0,0
CATMA1A68355,1,1,1,1,1,0
CATMA1A68360,1,0,1,0,1,0
CATMA1A68370,1,0,1,0,0,1
CATMA1A68390,1,1,1,1,0,1
CATMA1A68420,1,0,0,0,1,0
CATMA1A68440,1,0,1,0,0,0
CATMA1A68480,1,0,0,0,0,1
CATMA1A68490,1,0,1,0,0,0
CATMA1A68510,1,0,0,0,0,0
CATMA1A68520,1,0,1,0,1,0
CATMA1A68530,1,0,0,0,1,0
CATMA1A68540,1,0,1,1,1,0
CATMA1A68545,1,1,1,0,1,1
CATMA1A68550,1,0,0,0,0,0
CATMA1A68560,1,0,0,0,0,0
CATMA1A68570,1,0,0,0,0,0
CATMA1A68580,1,0,0,0,1,1
CATMA1A68590,1,1,1,1,0,0
CATMA1a68600,0,0,1,0,0,1
CATMA1a68610,0,0,1,0,1,0
CATMA1A68640,1,0,0,0,0,0
CATMA1A68650,0,0,1,0,0,0
CATMA1A68660,1,0,0,1,1,1
CATMA1A68670,0,0,0,0,0,1
CATMA1A68700,0,0,1,1,1,1
CATMA1A68720,1,0,0,0,1,1
CATMA1A68730,0,0,0,0,1,1
CATMA1A68760,0,0,0,1,1,0
CATMA1A68770,1,0,0,0,0,0
CATMA1A68810,1,0,0,1,1,1
CATMA1A68820,1,0,0,1,0,0
CATMA1A68840,1,0,0,1,1,0
CATMA1A68860,1,0,0,1,1,1
CATMA1A68870,0,0,0,0,0,1
CATMA1A68880,1,0,1,0,0,0
CATMA1A68890,1,0,1,0,0,0
CATMA1A68910,0,0,1,0,0,0
CATMA1A68920,1,0,1,0,0,0
CATMA1A68930,0,0,1,0,1,0
CATMA1A68940,1,0,0,0,0,0
CATMA1A68950,1,0,0,0,0,0
CATMA1A68980,0,0,0,0,1,1
CATMA1A68990,1,0,1,0,0,0
CATMA1A69000,1,1,0,1,1,1
CATMA1A69030,1,0,1,0,0,0
CATMA1A69070,1,0,0,1,1,1
CATMA1A69080,1,0,0,0,0,0
CATMA1A69100,0,0,1,0,0,0
CATMA1A69105,1,0,1,0,0,0
CATMA1A69130,1,0,0,0,0,0
CATMA1A69150,0,1,1,0,0,0
CATMA1A69160,1,0,0,0,1,0
CATMA1a69170,0,0,1,0,0,0
CATMA1A69180,0,0,0,0,1,0
CATMA1A69210,0,0,0,1,1,1
CATMA1A69220,1,0,1,1,0,0
CATMA1A69225,1,1,1,0,1,1
CATMA1A69230,1,0,0,0,0,0
CATMA1A69240,1,1,0,0,0,1
CATMA1A69250,1,0,0,0,0,0
CATMA1A69290,0,0,0,1,1,1
CATMA1A69300,1,1,1,1,1,1
CATMA1A69310,1,1,0,0,1,1
CATMA1A69330,1,0,1,0,0,0
CATMA1A69340,1,0,0,1,1,1
CATMA1A69350,1,0,0,0,1,0
CATMA1A69360,1,0,0,0,1,1
CATMA1A69370,0,1,0,0,0,0
CATMA1A69390,1,0,0,0,0,1
CATMA1A69420,1,1,0,0,0,0
CATMA1A69470,1,0,0,0,0,0
CATMA1A69480,1,0,0,0,1,1
CATMA1A69495,1,1,0,1,1,0
CATMA1A69500,0,0,0,0,1,1
CATMA1A69510,1,0,0,0,0,0
CATMA1A69533,1,0,0,0,0,0
CATMA1A69536,1,0,1,0,1,1
CATMA1A69540,1,0,1,0,1,1
CATMA1A69550,0,0,0,1,1,1
CATMA1A69580,1,0,1,0,0,0
CATMA1A69590,0,0,0,0,1,0
CATMA1A69600,1,1,0,0,0,0
CATMA1A69620,1,0,1,1,1,1
