Motif ID	Module ID	P-Value	Bound Genes
FZ_KAN1_01	3	0.0357263458106	AT1G71520;AT2G05915;AT2G22770;AT4G06746;AT4G13395;AT4G14230;AT5G41080;AT5G58390
FZ_CCA1_01	5	0.0234176274774	AT2G15090;AT2G28720;AT2G46790;AT3G04550;AT3G10020;AT3G59210;AT4G04330;AT4G14270;AT4G18270;AT4G25480;AT4G31050;AT5G64860
FZ_RVE1_01	5	0.0206218314747	AT2G15090;AT2G28720;AT2G46790;AT3G04550;AT3G10020;AT3G59210;AT4G04330;AT4G14270;AT4G18270;AT4G25480;AT4G26760;AT4G31050;AT5G64860
M0150_1.02	7	0.0020334973544	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0151_1.02	7	0.00098851214616	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0153_1.02	7	0.00190938154469	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0157_1.02	7	0.0020334973544	AT1G01060;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0158_1.02	7	0.00128434835429	AT1G01060;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0162_1.02	7	0.0020334973544	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G21430;AT5G37260;AT5G43630;AT5G64940
M0163_1.02	7	0.00355551982483	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT5G21430;AT5G43630;AT5G43750;AT5G64940
M0165_1.02	7	0.000760503623704	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0167_1.02	7	0.001137205763	AT1G01060;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0252_1.02	7	0.001137205763	AT1G01060;AT3G01060;AT3G02380;AT3G09600;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0255_1.02	7	0.00159172961253	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0256_1.02	7	0.000589724496994	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0257_1.02	7	0.000189545101844	AT1G01060;AT1G19150;AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0258_1.02	7	9.73937122554e-05	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0261_1.02	7	0.00010331311439	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0264_1.02	7	0.0148294346864	AT1G01060;AT1G14150;AT2G21330;AT3G01060;AT3G02380;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0266_1.02	7	0.0318988135461	AT1G01060;AT1G14150;AT2G21330;AT3G01060;AT3G02380;AT5G37260;AT5G43630;AT5G64940
M0268_1.02	7	0.0225898419608	AT1G01060;AT1G14150;AT2G21330;AT3G01060;AT3G02380;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M0272_1.02	7	0.0197066612581	AT1G01060;AT1G14150;AT2G21330;AT3G01060;AT4G18810;AT5G43630;AT5G43750;AT5G64940
M0329_1.02	7	0.000589724496994	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
M0359_1.02	7	0.000738976351078	AT1G01060;AT1G14150;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M1400_1.02	7	0.0488437906463	AT1G19150;AT3G21870;AT4G27030
M1948_1.02	7	0.0130837703571	AT1G01060;AT3G01060;AT3G02380;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2342_1.02	7	0.000189545101844	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2343_1.02	7	0.000616307498647	AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2344_1.02	7	0.000589724496994	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2345_1.02	7	0.000589724496994	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2353_1.02	7	0.0488437906463	AT2G21330;AT3G01060;AT3G02380;AT4G18810;AT5G43630;AT5G43750;AT5G64940
M2354_1.02	7	0.000239732847362	AT1G01060;AT1G19150;AT2G21330;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2363_1.02	7	9.73937122554e-05	AT1G01060;AT1G14150;AT1G19150;AT2G46830;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT5G37260;AT5G43630;AT5G43750;AT5G64940
M2862_1.02	7	0.000589724496994	AT2G21330;AT2G46830;AT3G01060;AT3G02380;AT3G09600;AT3G21870;AT4G18810;AT5G37260;AT5G43630;AT5G64940
